LiPoly 1S1P;1;"BT1";~;~
9p1;2;"C36 C37";~;~
15p;2;"C34 C35";~;~
27p;1;"C4";~;~
47p;2;"C12 C13";~;~
180p;1;"C5";~;~
100n;16;"C6 C10 C11 C14 C16 C20 C21 C22 C23 C26 C27 C28 C29 C30 C31 C33";~;~
1u;3;"C7 C18 C24";~;~
4.7u;4;"C2 C9 C19 C25";~;~
4.7u;1;"C17";~;~;tan;25
10u;3;"C1 C3 C15";~;~
10u;1;"C8";~;~;X5R
10u;1;"C32";~;~;tan;6;<3R
10uH;1;"I1";;
10uH;1;"I2";~;~
MOTOR;1;"M1";~;~
CONN_5;1;"P1";;
NPN;1;"Q1";~;~
0R;2;"R2 R3";~;~
27R;2;"R8 R9";~;~
1K;2;"R1 R14";~;~
2K8;1;"R7";~;~
4K7;1;"R10";~;~
10K;7;"R11 R13 R15 R16 R17 R18 R19";~;~
27K;1;"R6";~;~
100K;1;"R5";~;~
560K;2;"R4 R12";~;~
SW_PUSH;4;"SW1 SW2 SW3 SW4";~;~
TP;11;"TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 TP11";~;~
BQ25010;1;"U1";;
MIC2290;1;"U2";;
EROLED015-1;1;"U4";;
FXOS8700CQ;1;"U5";;
PIC32MX370F512H;1;"U6";;
FT201X;1;"U3";~;~
32.768KHz;1;"X2";~;~;9HT10-32.768KBZC-T
25MHz;1;"X1";~;~;ABM8-25.000MHZ-D2Y-T;50
